GEOLINEID,Legend_Description,GSC_SYMBOL
112002020104,fault; reverse; approximate; attitude upright; fourth generation,4.02.02.002
112002020110,fault; reverse; approximate; attitude upright; primary generation,4.02.02.002
112002020120,fault; reverse; approximate; attitude upright; multi-generation generation,4.02.02.002
112002020166,fault; reverse; approximate; attitude upright; not entered generation,4.02.02.002
112002020188,fault; reverse; approximate; attitude upright; undefined generation,4.02.02.002
112002020201,fault; reverse; approximate; attitude overturned; first generation,4.02.02.002
112002020202,fault; reverse; approximate; attitude overturned; second generation,4.02.02.002
112002020203,fault; reverse; approximate; attitude overturned; third generation,4.02.02.002
112002020204,fault; reverse; approximate; attitude overturned; fourth generation,4.02.02.002
112002020210,fault; reverse; approximate; attitude overturned; primary generation,4.02.02.002
112002020220,fault; reverse; approximate; attitude overturned; multi-generation generation,4.02.02.002
112002020266,fault; reverse; approximate; attitude overturned; not entered generation,4.02.02.002
112002020288,fault; reverse; approximate; attitude overturned; undefined generation,4.02.02.002
112002020301,"fault; reverse; approximate; attitude upright, assumed from archival data; first generation",4.02.02.002
112002020302,"fault; reverse; approximate; attitude upright, assumed from archival data; second generation",4.02.02.002
112002020303,"fault; reverse; approximate; attitude upright, assumed from archival data; third generation",4.02.02.002
112002020304,"fault; reverse; approximate; attitude upright, assumed from archival data; fourth generation",4.02.02.002
112002020310,"fault; reverse; approximate; attitude upright, assumed from archival data; primary generation",4.02.02.002
112002020320,"fault; reverse; approximate; attitude upright, assumed from archival data; multi-generation generation",4.02.02.002
112002020366,"fault; reverse; approximate; attitude upright, assumed from archival data; not entered generation",4.02.02.002
112002020388,"fault; reverse; approximate; attitude upright, assumed from archival data; undefined generation",4.02.02.002
112002026601,fault; reverse; approximate; attitude not entered; first generation,4.02.02.002
112002026602,fault; reverse; approximate; attitude not entered; second generation,4.02.02.002
112002026603,fault; reverse; approximate; attitude not entered; third generation,4.02.02.002
112002026604,fault; reverse; approximate; attitude not entered; fourth generation,4.02.02.002
112002026610,fault; reverse; approximate; attitude not entered; primary generation,4.02.02.002
112002026620,fault; reverse; approximate; attitude not entered; multi-generation generation,4.02.02.002
112002026666,fault; reverse; approximate; attitude not entered; not entered generation,4.02.02.002
112002026688,fault; reverse; approximate; attitude not entered; undefined generation,4.02.02.002
112002027701,fault; reverse; approximate; attitude unknown; first generation,4.02.02.002
112002027702,fault; reverse; approximate; attitude unknown; second generation,4.02.02.002
112002027703,fault; reverse; approximate; attitude unknown; third generation,4.02.02.002
112002027704,fault; reverse; approximate; attitude unknown; fourth generation,4.02.02.002
112002027710,fault; reverse; approximate; attitude unknown; primary generation,4.02.02.002
112002027720,fault; reverse; approximate; attitude unknown; multi-generation generation,4.02.02.002
112002027766,fault; reverse; approximate; attitude unknown; not entered generation,4.02.02.002
112002027788,fault; reverse; approximate; attitude unknown; undefined generation,4.02.02.002
112002030101,fault; reverse; inferred; attitude upright; first generation,4.02.02.003
112002030102,fault; reverse; inferred; attitude upright; second generation,4.02.02.003
112002030103,fault; reverse; inferred; attitude upright; third generation,4.02.02.003
112002030104,fault; reverse; inferred; attitude upright; fourth generation,4.02.02.003
112002030110,fault; reverse; inferred; attitude upright; primary generation,4.02.02.003
112002030120,fault; reverse; inferred; attitude upright; multi-generation generation,4.02.02.003
112002030166,fault; reverse; inferred; attitude upright; not entered generation,4.02.02.003
112002030188,fault; reverse; inferred; attitude upright; undefined generation,4.02.02.003
112002030201,fault; reverse; inferred; attitude overturned; first generation,4.02.02.003
112002030202,fault; reverse; inferred; attitude overturned; second generation,4.02.02.003
112002030203,fault; reverse; inferred; attitude overturned; third generation,4.02.02.003
112002030204,fault; reverse; inferred; attitude overturned; fourth generation,4.02.02.003
112002030210,fault; reverse; inferred; attitude overturned; primary generation,4.02.02.003
112002030220,fault; reverse; inferred; attitude overturned; multi-generation generation,4.02.02.003
112002030266,fault; reverse; inferred; attitude overturned; not entered generation,4.02.02.003
112002030288,fault; reverse; inferred; attitude overturned; undefined generation,4.02.02.003
112002030301,"fault; reverse; inferred; attitude upright, assumed from archival data; first generation",4.02.02.003
112002030302,"fault; reverse; inferred; attitude upright, assumed from archival data; second generation",4.02.02.003
112002030303,"fault; reverse; inferred; attitude upright, assumed from archival data; third generation",4.02.02.003
112002030304,"fault; reverse; inferred; attitude upright, assumed from archival data; fourth generation",4.02.02.003
112002030310,"fault; reverse; inferred; attitude upright, assumed from archival data; primary generation",4.02.02.003
112002030320,"fault; reverse; inferred; attitude upright, assumed from archival data; multi-generation generation",4.02.02.003
112002030366,"fault; reverse; inferred; attitude upright, assumed from archival data; not entered generation",4.02.02.003
112002030388,"fault; reverse; inferred; attitude upright, assumed from archival data; undefined generation",4.02.02.003
112002036601,fault; reverse; inferred; attitude not entered; first generation,4.02.02.003
112002036602,fault; reverse; inferred; attitude not entered; second generation,4.02.02.003
112002036603,fault; reverse; inferred; attitude not entered; third generation,4.02.02.003
112002036604,fault; reverse; inferred; attitude not entered; fourth generation,4.02.02.003
