GEOPOINTID,Legend_Description,GSC_SYMBOL
1100102100206,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; acquired from historical data",4.14.01.005
1100102100266,"planar; bedding; inclined, overturned < 180; primary; known, igneous structure; not entered",4.14.01.006
1100102100301,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; measured at station",4.14.01.005
1100102100302,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; estimated at station",4.14.01.006
1100102100303,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; estimated remotely",4.14.01.006
1100102100304,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; calculated from data",4.14.01.006
1100102100305,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; calculated from imagery",4.14.01.006
1100102100306,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; acquired from historical data",4.14.01.005
1100102100366,"planar; bedding; inclined, overturned < 180; primary; known, stratigraphic order; not entered",4.14.01.006
1100102100401,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; measured at station",4.14.01.005
1100102100402,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; estimated at station",4.14.01.006
1100102100403,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; estimated remotely",4.14.01.006
1100102100404,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; calculated from data",4.14.01.006
1100102100405,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; calculated from imagery",4.14.01.006
1100102100406,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; acquired from historical data",4.14.01.005
1100102100466,"planar; bedding; inclined, overturned < 180; primary; inferred, stratigraphic order; not entered",4.14.01.006
1100102100501,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; measured at station",4.14.01.005
1100102100502,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; estimated at station",4.14.01.006
1100102100503,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; estimated remotely",4.14.01.006
1100102100504,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; calculated from data",4.14.01.006
2203899059902,linear; boudinage axis; not applicable; fifth; not applicable; estimated at station,4.13.03.010
2203899059903,linear; boudinage axis; not applicable; fifth; not applicable; estimated remotely,4.13.03.010
2203899059904,linear; boudinage axis; not applicable; fifth; not applicable; calculated from data,4.13.03.010
2203899059905,linear; boudinage axis; not applicable; fifth; not applicable; calculated from imagery,4.13.03.010
2203899059906,linear; boudinage axis; not applicable; fifth; not applicable; acquired from historical data,4.13.03.009
2203899059966,linear; boudinage axis; not applicable; fifth; not applicable; not entered,4.13.03.010
2203899109901,linear; boudinage axis; not applicable; primary; not applicable; measured at station,4.13.03.009
2203899109902,linear; boudinage axis; not applicable; primary; not applicable; estimated at station,4.13.03.010
2203899109903,linear; boudinage axis; not applicable; primary; not applicable; estimated remotely,4.13.03.010
2203899109904,linear; boudinage axis; not applicable; primary; not applicable; calculated from data,4.13.03.010
2203899109905,linear; boudinage axis; not applicable; primary; not applicable; calculated from imagery,4.13.03.010
2203899109906,linear; boudinage axis; not applicable; primary; not applicable; acquired from historical data,4.13.03.009
2203899109966,linear; boudinage axis; not applicable; primary; not applicable; not entered,4.13.03.010
